# Directed graph (each unordered pair of nodes is saved once): roadNet-PA.txt 
# Pennsylvania road network
# Nodes: 1088092 Edges: 3083796
# FromNodeId	ToNodeId
1047840	1047628
594289	594300
112976	112986
766862	766860
791227	791218
564471	564469
221822	221886
829708	829712
846348	846346
315676	315697
612336	617848
880699	880698
121424	121423
259960	259988
900256	900255
137186	137146
411013	402113
511650	508409
369024	369021
506490	506491
764538	764501
965535	965543
391361	391328
997774	995436
1046152	1046216
597330	581149
588820	587444
409255	409257
132551	132538
781741	782304
840589	850737
971004	971012
213095	208192
339379	339305
122674	122672
83834	83835
782064	782065
196222	196224
786282	788289
512300	512291
261786	261785
1026590	1026589
768137	768136
464942	464941
1087142	1085443
828976	828977
112833	123131
15082	15124
743670	743672
271292	271293
485478	485484
339331	340602
47806	47808
748999	733012
150718	149533
221185	221943
999896	999897
982394	982393
874612	874611
491739	491741
291668	291672
906466	906467
530363	530984
985774	985518
1066564	1065977
772958	772960
189648	189650
817220	817219
994128	994129
489068	489409
465572	465567
86141	86142
1005444	1005440
854494	839496
328103	328102
1007896	1007895
110825	110823
668985	668984
134438	134444
723207	723208
780762	780748
155208	129835
478645	465497
64300	64289
945652	945651
108142	102814
628375	628293
791767	791768
466981	467745
621261	621262
889186	889158
938864	938865
1089113	1089111
640707	640706
750339	747124
653640	653641
333299	333036
97741	97657
181022	181019
540071	540151
771231	777097
187813	187861
419629	419644
531757	531761
615931	615930
881697	881717
693698	693696
2382	1835
942344	942316
889267	889268
638097	638134
375416	375420
195202	195210
774858	774866
372355	372359
663325	663324
195822	195819
463868	464072
734071	734074
1040598	1040591
70929	70940
799411	799412
833873	833853
1086830	1066332
80897	80895
523817	523819
302675	302668
336139	336238
699427	700193
54344	54357
19082	19081
1023559	1021919
591592	600101
667433	667422
879493	881539
1048834	1051717
473905	473372
383955	387056
950059	950996
191547	195556
1026763	1026845
261612	267305
126293	126327
84515	84514
72442	72474
40037	40036
641207	641227
864684	864683
414340	402231
956748	951141
1027753	1027754
685898	352946
913987	907031
538529	538134
801791	801790
987640	987641
672943	672941
133585	133442
690805	690808
961586	961701
1085158	1079498
396670	396671
175683	175684
1021710	1020815
801045	800994
908631	908358
981682	981684
219079	219058
862320	862319
475167	478332
610485	610488
889945	889879
1055255	1055274
621325	629902
426730	426720
575005	575006
849836	849837
963420	967981
346249	346130
245732	245753
853488	854126
126202	153913
705107	705106
1070988	1071021
121598	121601
863036	863794
387473	387367
292322	292756
318222	318223
514774	514775
7600	304
572453	572450
574150	574171
1052548	1052549
443497	443490
387836	387841
609095	613756
944669	944671
794607	794605
291095	291094
296122	296092
141759	141760
187264	187281
828406	828411
571883	571876
595122	595121
545161	536793
539173	539149
860317	860784
89417	89418
113439	112974
101117	101116
500567	500853
158223	158205
1024614	1024616
969094	969138
532577	532586
161924	161928
97361	97362
1027824	1027823
230519	229941
922778	922776
397295	396968
43734	36901
662319	662318
755967	755969
875431	875429
352449	352450
1042932	1042935
114250	123600
255782	258014
319049	319054
221451	222982
162635	162636
948232	948343
456613	456603
729770	729766
313866	313869
775234	775245
1076425	1076427
1022550	1020517
271828	272261
764776	764769
43488	43489
414158	411639
1086906	1086518
405955	405953
24350	34056
888534	887475
38572	38574
687183	682863
1054873	1054872
500477	500347
89412	89419
935167	935143
361184	361194
1013078	1013080
395780	395012
1069853	1069854
95557	98327
696759	683865
1011857	1011872
588175	588176
329086	329076
10023	9998
500966	501292
743363	743262
645810	643039
47992	47979
534632	534650
95961	95960
113494	113493
416794	416791
97003	99316
36975	36971
811853	811852
102817	102824
174841	174830
934777	934775
1045198	1045200
396926	397631
312096	312303
111133	111134
126900	149385
183916	178186
308590	284970
24922	25009
456780	456781
426913	426911
461412	461399
795506	795505
1062050	1062047
192060	190580
1081541	1081368
276601	276600
136991	137089
639457	639456
915882	915883
123515	123517
749305	749304
416583	416586
424135	424133
965455	965454
649186	649203
960890	960889
460391	460477
161256	161235
320220	320219
904894	902050
935339	935337
25594	25895
67410	67411
158058	169260
965426	965442
479183	472037
684055	682372
510331	510445
738101	739754
563752	563751
1045685	1045688
1059290	1056675
522845	522787
909831	909816
1058978	1058977
460018	459378
793957	793958
1029857	1029858
471180	471178
186758	186804
103864	103863
779652	779565
570306	570305
280398	280395
729468	729466
631715	631714
979417	979418
1057770	1057742
294617	294620
626966	624081
173561	173562
155936	155934
176368	176340
835123	835121
516714	516897
624085	624107
197089	197090
827101	827092
593214	593223
587950	587952
368917	368919
631819	631731
247749	247812
541530	541398
473178	472382
11310	11312
611689	611481
692914	696019
653153	653152
606962	606273
461174	461186
217515	224083
638396	638397
212518	212515
46927	46932
334370	334236
718276	717202
376293	376304
838031	837991
625782	625739
1034111	1034044
691273	691272
472331	472332
232619	217824
586468	586520
293783	293782
386435	386433
811142	811105
951853	951854
964995	965006
245663	245193
894230	893539
462642	462513
1074333	1074566
650231	650226
187445	187459
105006	105000
1024884	1027117
964405	964436
760499	760480
827779	827777
72200	72199
740074	740076
713848	713886
